team_id,team,year,wins,losses,win_%,singles,doubles,triples,home_runs,walks,sac_fly,sac_bunt,strikeouts,outs,r_o_error,runs,plate_appearances,sing/pa,doub/pa,trip/pa,hr/pa,hits,ab,avg,obs,slugging,ops,so_%,hr_%,walk_%,hits_to_run
201628,nyn,2016,87,75,0.5370370370370371,958,258,29,152,474,44,55,1398,2281,57,671,5706,0.16789344549596916,0.0452155625657203,0.005082369435681739,0.02663862600771118,1397,5076,0.2752167060677699,0.3344654987486593,0.42730496453900707,0.7617704632876664,0.24500525762355416,0.02663862600771118,0.08307045215562565,2.081967213114754
201629,tor,2016,89,73,0.5493827160493827,864,269,24,183,521,33,13,1315,2517,51,758,5790,0.14922279792746113,0.0464594127806563,0.004145077720207254,0.031606217616580314,1340,5172,0.2590873936581593,0.3250087320991967,0.4265274555297757,0.7515361876289723,0.22711571675302245,0.031606217616580314,0.08998272884283247,1.7678100263852243
201630,bos,2016,93,69,0.5740740740740741,892,251,23,176,555,35,24,1363,2404,49,878,5772,0.15453915453915454,0.043485793485793484,0.003984753984753985,0.030492030492030493,1342,5109,0.26267371305539244,0.3328654149850851,0.42415345468780585,0.7570188696728909,0.23613998613998613,0.030492030492030493,0.09615384615384616,1.5284738041002277
201701,chn,2017,92,70,0.5679012345679012,833,250,17,194,621,29,28,1439,2233,53,821,5697,0.1462173073547481,0.04388274530454625,0.002984026680709145,0.03405301035632789,1294,4966,0.2605718888441402,0.34099002849002846,0.43495771244462345,0.7759477409346519,0.25258908197296825,0.03405301035632789,0.10900473933649289,1.5761266747868452
201702,sea,2017,77,85,0.47530864197530864,888,262,12,237,546,58,24,1245,2392,61,749,5725,0.15510917030567686,0.045764192139737994,0.002096069868995633,0.041397379912663755,1399,5036,0.2777998411437649,0.3448581560283688,0.47577442414614773,0.8206325801745166,0.21746724890829694,0.041397379912663755,0.09537117903930131,1.8678237650200267
201703,mia,2017,77,85,0.47530864197530864,940,280,37,193,702,43,59,1202,2450,36,778,5942,0.15819589363850556,0.047122181083810166,0.006226859643217772,0.032480646247054865,1450,5102,0.28420227361818895,0.3680519924747734,0.4670717365738926,0.8351237290486659,0.2022887916526422,0.032480646247054865,0.11814203971726692,1.8637532133676094
201704,tba,2017,80,82,0.49382716049382713,844,270,17,193,553,36,26,1352,2358,59,694,5708,0.14786264891380518,0.04730203223545901,0.0029782761037140857,0.03381219341275403,1324,5034,0.2630115216527612,0.3338075760270318,0.4384187524831148,0.7722263285101466,0.23686054660126138,0.03381219341275403,0.09688156972669937,1.9077809798270893
201705,phi,2017,66,96,0.4074074074074074,926,296,28,221,591,46,37,1311,2364,39,690,5859,0.15804744837002901,0.050520566649598905,0.0047789725209080045,0.03771974739716675,1471,5146,0.28585308977846874,0.3565623378869099,0.48309366498251066,0.8396560028694205,0.22375832053251407,0.03771974739716675,0.10087045570916539,2.1318840579710145
201706,kca,2017,80,82,0.49382716049382713,970,274,40,196,571,45,21,1218,2480,49,702,5864,0.16541609822646658,0.046725784447476125,0.0068212824010914054,0.03342428376534789,1480,5178,0.2858246427191966,0.35398688298239556,0.46774816531479335,0.8217350482971889,0.2077080491132333,0.03342428376534789,0.0973738062755798,2.1082621082621085
201707,hou,2017,101,61,0.6234567901234568,806,293,23,192,598,20,17,1593,2196,53,896,5791,0.1391814885166638,0.05059575202901053,0.003971680193403557,0.033154895527542735,1314,5103,0.25749559082892415,0.33420730641496244,0.4368018812463257,0.7710091876612881,0.2750820238300812,0.033154895527542735,0.1032636850284925,1.4665178571428572
201708,mil,2017,84,78,0.5185185185185185,891,276,29,185,617,29,39,1347,2345,64,730,5822,0.1530401923737547,0.047406389556853314,0.00498110614908966,0.031776021985571966,1381,5073,0.2722255075891977,0.3493617765343592,0.44746698206189633,0.7968287585962555,0.23136379251116454,0.031776021985571966,0.1059773273789076,1.8917808219178083
201709,det,2017,64,98,0.3950617283950617,1044,290,35,218,600,61,15,1202,2370,45,735,5880,0.17755102040816326,0.04931972789115646,0.005952380952380952,0.03707482993197279,1587,5159,0.3076177553789494,0.37577319587628866,0.504167474316728,0.8799406701930167,0.204421768707483,0.03707482993197279,0.10204081632653061,2.159183673469388
201710,was,2017,97,65,0.5987654320987654,845,243,23,189,556,31,35,1459,2297,43,819,5721,0.1477014507953155,0.042475091767173574,0.0040202761754937946,0.03303618248557944,1300,5056,0.25712025316455694,0.32890306574517103,0.4264240506329114,0.7553271163780824,0.25502534521936726,0.03303618248557944,0.09718580667715435,1.5873015873015872
201711,cin,2017,70,92,0.43209876543209874,857,315,22,248,710,48,52,1300,2336,48,753,5936,0.1443733153638814,0.05306603773584906,0.003706199460916442,0.04177897574123989,1442,5078,0.2839700669554943,0.36874571624400276,0.5011815675462781,0.8699272837902808,0.21900269541778974,0.04177897574123989,0.11960916442048518,1.9150066401062418
201712,lan,2017,104,58,0.6419753086419753,793,229,20,184,484,22,39,1549,2175,55,770,5550,0.1428828828828829,0.04126126126126126,0.0036036036036036037,0.033153153153153155,1226,4950,0.2476767676767677,0.31341642228739003,0.41353535353535353,0.7269517758227436,0.2790990990990991,0.033153153153153155,0.0872072072072072,1.5922077922077922
201713,ari,2017,93,69,0.5740740740740741,828,276,34,171,556,36,36,1484,2272,62,812,5755,0.14387489139878368,0.04795829713292789,0.005907906168549088,0.029713292788879235,1309,5065,0.25844027640671274,0.3296800424253138,0.42764067127344524,0.757320713698759,0.2578627280625543,0.029713292788879235,0.09661164205039097,1.6120689655172413
201714,oak,2017,76,86,0.4691358024691358,906,300,28,210,567,44,17,1202,2405,76,739,5755,0.1574283231972198,0.052128583840139006,0.0048653344917463075,0.036490008688097306,1444,5051,0.2858839833696298,0.35517484987636877,0.48109285290041576,0.8362677027767845,0.20886185925282363,0.036490008688097306,0.09852302345786272,1.9539918809201624
201715,nya,2017,91,71,0.5617283950617284,801,243,12,192,561,30,18,1560,2238,56,858,5711,0.14025564699702328,0.042549465942917176,0.0021012081947119595,0.03361933111539135,1248,5046,0.2473246135552913,0.320915380521554,0.41438763376932225,0.7353030142908763,0.27315706531255474,0.03361933111539135,0.0982314831027841,1.4545454545454546
201716,sdn,2017,71,91,0.4382716049382716,893,275,23,226,629,34,32,1327,2330,58,604,5827,0.15325210228247813,0.04719409644757165,0.00394714261197872,0.03878496653509524,1417,5074,0.27926685061095785,0.3566323862645982,0.47615293653921953,0.8327853228038178,0.22773296722155484,0.03878496653509524,0.10794576969280933,2.346026490066225
201717,col,2017,87,75,0.5370370370370371,923,290,50,190,584,42,49,1270,2378,33,824,5809,0.158891375451885,0.04992253399896712,0.00860733344809778,0.032707867102771564,1453,5101,0.28484610860615567,0.35568360398114196,0.47304450107821994,0.8287281050593619,0.2186262695816836,0.032707867102771564,0.10053365467378206,1.7633495145631068
